1,bishi,男,,8783,945806,Wed Jun 24 14:06:54 2009,0000-09-19,,http://i0.hdslb.com/bfs/face/34c5b30a990c7ce4a809626d8153fa7895ec7b63.gif,2
2,碧诗,男,,182650,8896401,Wed Jun 24 14:16:45 2009,0000-09-19,上海市 浦东新区,http://i1.hdslb.com/bfs/face/6f3e8f3f7abd1ed4ff96508e79a583d0519f1b3c.jpg,29
16,荼荼丸,男,セルルック系萌系动画师 / 模型师 / 动画摄影 / 五毛特效 / TA / 3D里番技术总监 /,42604,1522258,Thu Jun 25 00:05:13 2009,0000-07-04,四川省 成都市,http://i0.hdslb.com/bfs/face/85e6a3031cf7102e5197a8ad450870f9c721ebd9.jpg,3
20,恶魔晓月曲,保密,合集停更,6397,2330487,Thu Jun 25 11:54:18 2009,0000-01-01,,http://i2.hdslb.com/bfs/face/9593775c427759f852eca55395342012d0a75567.jpg,9
68,hpkm4036,保密,,6244,3684832,Thu Jul  9 13:42:24 2009,0000-00-00,,http://i1.hdslb.com/bfs/face/756f7941e3473f286da087b44533b8e2c666f813.gif,9
75,丸子,男,关注一下丸子呗，说不定哪天就火了呢。微博：weibo.com/liangjwyu,80529,5778799,Thu Jul  9 15:47:27 2009,0000-07-13,贵州省 贵阳市,http://i1.hdslb.com/bfs/face/3ad90d135227e822fc939217b26191e2bff238c9.jpg,159
79,saber酱,女,个人微博：http://weibo.com/saberchanchan/,170205,73281191,Thu Jul  9 16:57:50 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/69ff5f5fffa3429b11176b3d9643afcb54cdb84e.jpg,1035
97,投影消逝中,男,weibo.com/naimensoliton 今日の俺は紳士的だ,9615,18371828,Mon Jul 13 00:41:03 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/763ea1a219cefd54a1cda11621d7fbdb363d0695.jpg,509
109,hank,男,因为有梦，所以更强。,59364,8946909,Mon Jul 13 11:10:00 2009,0000-01-01,上海市 上海市,http://i2.hdslb.com/bfs/face/e58453c264ba5196dc3da8ef9f4a0152e0e1f21c.jpg,43
125,黑暗有光,男,,40960,19319,Mon Jul 13 18:02:07 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/4c1a895f98f9c5180db468d5436c82160265afd7.jpg,0
159,黄泉之水,男,细水长流。微博：www.weibo.com/Hunderwater,92531,17840686,Mon Jul 13 18:32:38 2009,0000-10-17,江苏省 连云港市,http://i2.hdslb.com/bfs/face/e97dc37d99b5d25fd5a3e22030ef85552d2617bc.jpg,254
395,温迪妮,女,weibo.com/coffeekizoku 微博求粉（滚来滚去）。【水】44583860。已婚！,65793,15096812,Mon Jul 13 21:56:14 2009,0000-06-06,北京市 朝阳区,http://i2.hdslb.com/bfs/face/fd2ec7ed2991c7d03006a6d60949ede4c0a8c628.jpg,377
608,晚香玉,女,用一点一滴的努力来打动你的心 (ヾ(´･ω･｀) weibo.com/nekohime,136329,19348139,Tue Jul 14 00:53:29 2009,0000-05-01,,http://i1.hdslb.com/bfs/face/846f8be5302745ab5e5f0e3d86b02089f380500c.jpg,89
629,真红の瞳,男,遇火重生 然後過著每天一次 有時兩次 有時很多次的生活,7603,4984948,Tue Jul 14 01:09:29 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/b42144ce967d0c0d354082eb791d1a9f48ab87a9.jpg,96
704,Sephiroth,男,B键已扣，回不起了~weibo.com/numb2046,7650,2193817,Tue Jul 14 01:59:06 2009,0000-01-01,,http://i0.hdslb.com/bfs/face/66d6ede3c900f4458fdd99a8cd2ac849d55445dc.jpg,129
843,fontaine,男,从此之后我们就再也没见过up主。,11735,11305924,Tue Jul 14 07:33:10 2009,0000-01-01,,http://static.hdslb.com/images/member/noface.gif,770
899,免检小绵羊,男,新语联盟配音社社长，不知名up主，兴趣使然的厨子，也是个射影湿，但是请记住我是配音爱好者。。。。。,9585,503936,Tue Jul 14 08:48:08 2009,0000-02-25,江苏省 苏州市,http://i0.hdslb.com/bfs/face/7b917033572ad4e5994d62060801b194c55ca089.jpg,48
1101,蛆帕斯POI,保密,什么时候产生了我会画画的错觉？？？,42052,709817,Tue Jul 14 15:15:30 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/268239a1e95a5afe9d01eed482803987f91e20f5.jpg,35
1348,西方良目仙人掌,男,看B站还是老样子就没上pc端的动力 还是尽量把老视频补补吧 另外评论里的恶俗小鬼怎么还多了不少 上来就是句厮妈  对我有意见咱们私信聊好不,14734,7253638,Tue Jul 14 19:15:53 2009,0000-12-14,山东省 青岛市,http://i2.hdslb.com/bfs/face/bdf08c5b4a0c4ae47fea488ff582022fad89c4be.jpg,1082
1417,DDF,男,微博 @DDF带你兜兜风   ,57746,2153654,Tue Jul 14 20:48:17 2009,0000-01-01,,http://i2.hdslb.com/bfs/face/9130aa6a1101c47630bb8fe8e2b6cfd95f224e70.jpg,7
1492,Q-kun,无,合集点我收藏夹weibo.com/kyusuke ,393383,40427884,0,无,无,http://i2.hdslb.com/bfs/face/f92360dc5d1bac59020b48d60c827b15a26ed70e.jpg,325
1743,雪月华,男,,12633,7444424,Wed Jul 15 15:26:18 2009,0000-06-26,陕西省 汉中市,http://i0.hdslb.com/bfs/face/ae5fa563c60f7acbe0e3cc811daafd1dd66e3d10.jpg,265
1978,超监督乌鸦,男,,5105,2610022,Thu Jul 16 01:04:55 2009,0000-01-01,,http://i0.hdslb.com/bfs/face/64b555512b1d4ed03682f5366769568752127d7c.jpg,122
2005,御坂美琴,女,这ID要留着做纪念，不卖的,9517,508905,Thu Jul 16 07:35:03 2009,0000-05-02,,http://i2.hdslb.com/bfs/face/695ac9e3889f5a2b8dd0cc92f8941d9ddbd261ba.jpg,0
2162,GPBeta,男,チルノは俺の嫁(●'◡'●),34887,4875393,Fri Jul 17 18:32:23 2009,0000-02-01,,http://i0.hdslb.com/bfs/face/85bab2a17646ccf442d28549e7216fd65c6adeb7.jpg,10
2634,飞剑,男,愿我能够成为那步履蹒跚的巨人，让你们站在我的肩膀上，走得更远。,12215,2594682,Thu Aug 13 14:50:39 2009,0000-11-22,,http://i2.hdslb.com/bfs/face/848a331c2cd7613cb88cb69f65e5c98ffa668260.jpg,129
2648,河童子,男,注意不要利用评论批量发布广告内容，否则节操会被扣光,13548,4105447,Sat Aug 15 04:03:16 2009,0000-12-09,上海市 闵行区,http://i1.hdslb.com/bfs/face/991e7abba204f58848be928d060e25a43b919fea.jpg,187
2776,HJISTC,男,永远年轻，永远热泪盈眶。 www.myacg.cc,12337,631987,Thu Sep  3 10:36:11 2009,0000-12-13,,http://i0.hdslb.com/bfs/face/a0f868015fc15d59d6513811d5cc0da64146508a.jpg,38
3011,面瘫の佛,男,,9669,1919842,Tue Sep 15 00:32:37 2009,0000-01-01,,http://i1.hdslb.com/bfs/face/0586e7cef880b1ea52a80b1293b26a4632417957.jpg,27
3295,新月冰冰,女,冰冰的游戏交流群：412205728 不打游戏可加应援群： 1314629 微博：新月冰冰,58476,3913152,Tue Sep 22 11:17:52 2009,0000-11-26,北京市 朝阳区,http://i0.hdslb.com/bfs/face/1412bd0ab8481ad0ae0b9d43a6a90f82f2a54ca5.jpg,144
3351,林大B,男,林大B新浪微博：http://weibo.com/lindab,10286,411882,Thu Oct  1 07:44:30 2009,0000-07-20,广东省 中山市,http://i0.hdslb.com/bfs/face/f431b1de10dc5877aa305edfc3372a445f2fb36f.jpg,20
3401,szrxs,男,刚挖完煤出来的,11642,2321508,Sat Oct  3 22:29:07 2009,0000-02-03,,http://i2.hdslb.com/bfs/face/edd66c3df69abd212e516a006dd6247320384d23.jpg,253
3506,车牌,男,出尘世羁绊 入虚无如风,15414,7883843,Sat Oct 17 02:57:13 2009,0000-11-03,,http://i1.hdslb.com/bfs/face/85dd25c81242f12fcf713b52c5286d9fe11460ef.jpg,1291
3876,凉茶,男,微博：mystia凉茶 意见及合作请联系：271023573@qq.com,17667,1094357,Tue Nov  3 05:07:26 2009,0000-06-04,,http://i2.hdslb.com/bfs/face/7f651b0329951cfd02692dce87c09700d6b0ab8f.jpg,180
5055,小缘,女,微博：@小缘喵     群：592737920   合作请联系邮箱：2117516485@qq.com,876090,62221505,Sun Nov 15 03:06:12 2009,0000-01-01,,http://i0.hdslb.com/bfs/face/d442b405ea18f1fff815084a73fe3a3abb5c1424.gif,177
5276,开门啦你的小初快递,女,将将~微博@开门啦你的小初快递，还有一个奇怪的群475546220,95350,4209314,Sun Nov 22 12:43:39 2009,0000-08-25,上海市 松江区,http://i0.hdslb.com/bfs/face/aa74ea9869ea5bb035fde89645e4af86d0f5b2fc.jpg,40
5551,丿BCZ,男,微博：http://weibo.com/1639488861 专辑下载/视频问题请微博私信-B站新私信系统有问题，详情请在电脑端主页公告了解,30426,14028783,Sat Dec  5 14:48:15 2009,0000-07-26,,http://i2.hdslb.com/bfs/face/c591d622bf5616dda9f31650e83951a51118157d.jpg,3233
5553,失算的谋士,无,注册于 2009-12-5 已经修复投稿消失的问题 我为我自已+1S,14626,7993224,0,无,无,http://i0.hdslb.com/bfs/face/f1d363b9a291509ff33e9e5e4b85e2f618c14ac7.jpg,106
5632,亚月,男,尽管如此，仍有不曾消失的东西在…,14952,3917547,Sat Dec 12 15:18:35 2009,0000-05-14,,http://i1.hdslb.com/bfs/face/fffcbb7d5dedf4c186b096835c0cea802495e71c.jpg,30
